City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,vlore,40.4667,19.4897,21.93,80,17,7.0,AL,1728610388
164,price,39.5994,-110.8107,19.77,22,100,0.56,US,1728610126
165,ko pha ngan,9.7578,100.0291,28.38,72,100,1.76,TH,1728610390
166,constantia,44.1833,28.65,15.39,66,7,1.78,RO,1728610391
167,khandyga,62.6667,135.6,1.75,68,100,3.17,RU,1728610393
168,oppdal,62.5943,9.6912,-1.41,97,98,2.0,NO,1728610394
169,badger,64.8,-147.5333,1.95,81,75,1.54,US,1728610395
170,ust-nera,64.5667,143.2,-3.26,74,82,1.71,RU,1728610396
171,magog,45.2668,-72.1491,8.9,76,88,5.66,CA,1728610397
172,cabo san lucas,22.8909,-109.9124,29.17,78,0,3.6,MX,1728610389
173,barra de santo antonio,-9.4047,-35.5072,25.36,68,100,5.37,BR,1728610399
174,hasaki,35.7333,140.8333,20.49,64,90,5.08,JP,1728610400
175,sinabang,2.4803,96.3801,24.55,95,100,1.76,ID,1728610401
176,vorgashor,67.5833,63.95,-10.4,98,64,0.78,RU,1728610403
177,ulladulla,-35.35,150.4667,21.18,57,35,6.04,AU,1728610404
178,puerto cabezas,14.0351,-83.3888,25.15,91,73,3.64,NI,1728610405
179,afaahiti,-17.75,-149.2833,21.69,90,100,9.62,PF,1728610406
180,vernon,50.2581,-119.2691,13.2,49,97,1.34,CA,1728610200
181,micheweni,-4.9667,39.8333,24.43,83,7,4.41,TZ,1728610408
182,coruripe,-10.1256,-36.1756,25.58,63,100,5.93,BR,1728610409
183,bereznik,62.8551,42.7072,0.87,94,100,6.08,RU,1728610410
184,north platte,41.1239,-100.7654,22.26,34,0,2.24,US,1728610411
185,crane,31.3974,-102.3501,26.54,17,0,5.72,US,1728610414
186,kotabumi,-4.8333,104.9,31.08,53,96,2.51,ID,1728610415
187,tazovsky,67.4667,78.7,-2.96,89,100,6.19,RU,1728610416
188,floro,61.5996,5.0328,4.98,87,100,2.06,NO,1728610417
189,carolina beach,34.0352,-77.8936,16.68,65,0,8.03,US,1728610418
190,cabedelo,-6.9811,-34.8339,26.37,77,100,5.4,BR,1728610419
191,nagqu,31.5,92.0,4.37,52,38,2.89,CN,1728610422
192,verkhnevilyuysk,63.4453,120.3167,-2.59,87,96,0.95,RU,1728610423
193,bel ombre,-4.6167,55.4167,27.91,78,40,6.17,SC,1728610424
194,gadzhiyevo,69.2551,33.3362,3.2,90,100,8.95,RU,1728610425
195,rio grande,-32.035,-52.0986,17.69,94,100,9.82,BR,1728610413
196,umba,66.6871,34.3429,3.57,95,100,10.61,RU,1728610427
197,chul'man,56.8479,124.9104,0.05,91,100,4.19,RU,1728610428
198,queenstown,-31.8976,26.8753,19.38,20,83,3.25,ZA,1728610429
199,benguela,-12.5763,13.4055,23.04,84,1,1.46,AO,1728610430
200,tres de maio,-27.7733,-54.24,19.1,99,100,1.87,BR,1728610431
201,rajapolah,-7.221,108.1896,26.96,73,60,1.92,ID,1728610433
202,qaqortoq,60.7167,-46.0333,1.74,87,82,1.41,GL,1728610434
203,phaltan,17.9833,74.4333,23.89,83,99,3.04,IN,1728610435
204,sitia,35.2,26.0986,22.19,74,72,0.98,GR,1728610436
205,howard springs,-12.497,131.047,31.04,73,11,3.21,AU,1728610437
206,tadmur,34.5608,38.2805,21.2,59,3,3.68,SY,1728610438
207,tulun,54.5611,100.5792,-2.38,86,100,3.06,RU,1728610440
208,pisco,-13.7,-76.2167,17.23,82,0,4.63,PE,1728610442
209,uzgen,40.7699,73.3007,16.02,49,70,2.53,KG,1728610444
210,alofi,-19.0595,-169.9187,27.94,69,75,5.14,NU,1728610445
211,zaozersk,69.4005,32.4476,3.15,89,100,3.68,RU,1728610446
212,camana,-16.6228,-72.7111,17.03,86,98,4.14,PE,1728610447
